 Dist  ;  Az   ;num;type
47.76068;0.78540;  1; air
35.71068;0.78540;  0; air
46.91068;0.78540;  1; air
34.71068;0.78540;  0; air
46.05068;0.78540;  1; air
33.71068;0.78540;  0; air
45.18068;0.78540;  1; air
32.71068;0.78540;  0; air
44.30068;0.78540;  1; air
31.71068;0.78540;  0; air
43.41068;0.78540;  1; air
30.71068;0.78540;  0; air
42.51068;0.78540;  1; air
29.71068;0.78540;  0; air
41.60068;0.78540;  1; air
28.71068;0.78540;  0; air
40.68068;0.78540;  1; air
27.71068;0.78540;  0; air
39.75068;0.78540;  1; air
26.71068;0.78540;  0; air
38.81068;0.78540;  1; air
25.71068;0.78540;  0; air
37.86068;0.78540;  1; air
24.71068;0.78540;  0; air
36.90068;0.78540;  1; air
23.71068;0.78540;  0; air
35.93068;0.78540;  1; air
22.71068;0.78540;  0; air
34.95068;0.78540;  1; air
21.71068;0.78540;  0; air
33.96068;0.78540;  1; air
20.71068;0.78540;  0; air
32.96068;0.78540;  1; air
19.71068;0.78540;  0; air
31.95068;0.78540;  1; air
18.71068;0.78540;  0; air
30.93068;0.78540;  1; air
17.71068;0.78540;  0; air
29.90068;0.78540;  1; air
16.71068;0.78540;  0; air
28.86068;0.78540;  1; air
15.71068;0.78540;  0; air
27.81068;0.78540;  1; air
14.71068;0.78540;  0; air
26.75068;0.78540;  1; air
13.71068;0.78540;  0; air
25.68068;0.78540;  1; air
12.71068;0.78540;  0; air
24.60068;0.78540;  1; air
11.71068;0.78540;  0; air
23.51068;0.78540;  1; air
10.71068;0.78540;  0; air
22.41068;0.78540;  1; air
9.71068;0.78540;  0; air
21.30068;0.78540;  1; air
8.71068;0.78540;  0; air
20.18068;0.78540;  1; air
7.71068;0.78540;  0; air
19.05068;0.78540;  1; air
6.71068;0.78540;  0; air
17.91068;0.78540;  1; air
5.71068;0.78540;  0; air
16.76068;0.78540;  1; air
4.71068;0.78540;  0; air
15.60068;0.78540;  1; air
3.71068;0.78540;  0; air
14.43068;0.78540;  1; air
2.71068;0.78540;  0; air
13.25068;0.78540;  1; air
1.71068;0.78540;  0; air
12.06068;0.78540;  1; air
0.71068;0.78540;  0; air
10.86068;0.78540;  1; air
0.28932;0.78540;  0; air
9.65068;0.78540;  1; air
1.28932;0.78540;  0; air
8.43068;0.78540;  1; air
2.28932;0.78540;  0; air
7.20068;0.78540;  1; air
3.28932;0.78540;  0; air
5.96068;0.78540;  1; air
4.28932;0.78540;  0; air
4.71068;0.78540;  1; air
5.28932;0.78540;  0; air
3.45068;0.78540;  1; air
6.28932;0.78540;  0; air
2.18068;0.78540;  1; air
7.28932;0.78540;  0; air
0.90068;0.78540;  1; air
8.28932;0.78540;  0; air
0.38932;0.78540;  1; air
9.28932;0.78540;  0; air
1.68932;0.78540;  1; air
10.28932;0.78540;  0; air
2.99932;0.78540;  1; air
11.28932;0.78540;  0; air
4.31932;0.78540;  1; air
12.28932;0.78540;  0; air
5.64932;0.78540;  1; air
13.28932;0.78540;  0; air
6.98932;0.78540;  1; air
14.28932;0.78540;  0; air
8.33932;0.78540;  1; air
15.28932;0.78540;  0; air
9.69932;0.78540;  1; air
16.28932;0.78540;  0; air
11.06932;0.78540;  1; air
17.28932;0.78540;  0; air
12.44932;0.78540;  1; air
18.28932;0.78540;  0; air
13.83932;0.78540;  1; air
19.28932;0.78540;  0; air
15.23932;0.78540;  1; air
20.28932;0.78540;  0; air
16.64932;0.78540;  1; air
21.28932;0.78540;  0; air
18.06932;0.78540;  1; air
22.28932;0.78540;  0; air
19.49932;0.78540;  1; air
23.28932;0.78540;  0; air
20.93932;0.78540;  1; air
24.28932;0.78540;  0; air
22.38932;0.78540;  1; air
25.28932;0.78540;  0; air
23.84932;0.78540;  1; air
26.28932;0.78540;  0; air
25.31932;0.78540;  1; air
27.28932;0.78540;  0; air
26.79932;0.78540;  1; air
28.28932;0.78540;  0; air
28.28932;0.78540;  1; air
29.28932;0.78540;  0; air
29.78932;0.78540;  1; air
