  time ;  Dist ; Course ;   V   ;  Type
 22.800;167.877; 8.39386578953678E+0000;   2.535 Aircraft
 22.900;167.560; 8.37799499065180E+0000;   2.547 Aircraft
 23.000;167.241; 8.36204616424034E+0000;   2.560 Aircraft
 23.100;166.920; 8.34601931030241E+0000;   2.572 Aircraft
 23.200;166.598; 8.32991442883801E+0000;   2.585 Aircraft
 23.300;166.275; 8.31373151984713E+0000;   2.597 Aircraft
 23.400;165.949; 8.29747058332977E+0000;   2.610 Aircraft
 23.500;165.623; 8.28113161928594E+0000;   2.622 Aircraft
 23.600;165.294; 8.26471462771564E+0000;   2.635 Aircraft
 23.700;164.964; 8.24821960861886E+0000;   2.647 Aircraft
 23.800;164.633; 8.23164656199560E+0000;   2.660 Aircraft
 23.900;164.300; 8.21499548784587E+0000;   2.672 Aircraft
 24.000;163.965; 8.19826638616967E+0000;   2.685 Aircraft
 24.100;163.629; 8.18145925696699E+0000;   2.697 Aircraft
 24.200;163.291; 8.16457410023784E+0000;   2.710 Aircraft
 24.300;162.952; 8.14761091598221E+0000;   2.722 Aircraft
 24.400;162.611; 8.13056970420011E+0000;   2.735 Aircraft
 24.500;162.269; 8.11345046489153E+0000;   2.747 Aircraft
 24.600;161.925; 8.09625319805648E+0000;   2.760 Aircraft
 24.700;161.580; 8.07897790369495E+0000;   2.772 Aircraft
 24.800;161.232; 8.06162458180695E+0000;   2.785 Aircraft
 24.900;160.884; 8.04419323239247E+0000;   2.797 Aircraft
 25.000;160.534; 8.02668385545152E+0000;   2.810 Aircraft
 25.100;160.182; 8.00909645098409E+0000;   2.822 Aircraft
 25.200;159.829; 7.99143101899019E+0000;   2.835 Aircraft
 25.300;159.474; 7.97368755946981E+0000;   2.847 Aircraft
 25.400;159.117; 7.95586607242296E+0000;   2.860 Aircraft
 25.500;158.759; 7.93796655784963E+0000;   2.872 Aircraft
 25.600;158.400; 7.91998901574983E+0000;   2.885 Aircraft
 25.700;158.039; 7.90193344612356E+0000;   2.897 Aircraft
 25.800;157.676; 7.88379984897081E+0000;   2.910 Aircraft
 25.900;157.312; 7.86558822429158E+0000;   2.922 Aircraft
 26.000;156.946; 7.84729857208588E+0000;   2.935 Aircraft
 26.100;156.579; 7.82893089235370E+0000;   2.947 Aircraft
 26.200;156.210; 7.81048518509505E+0000;   2.960 Aircraft
 26.300;155.839; 7.79196145030993E+0000;   2.972 Aircraft
 26.400;155.467; 7.77335968799833E+0000;   2.985 Aircraft
